branches,branch_misses,cache_references,cache_misses
404632,19544,151407,11413
1803283,28731,197872,24020
878118,24783,162014,16188
942563,29044,287707,20687
539045,26158,278792,14293
1161214,40640,439474,24830
1441113,55433,503051,35974
2331735,32930,336111,30691
714697,15230,141346,23616
72263,3398,40372,2631
285323,12159,63126,9831
1586551,12891,79622,8977
255719,14812,81549,7490
169652,8998,54338,4204
331838,19988,61251,8205
1724369,14988,79946,16796
219675,11607,50681,12655
129255,6100,54752,11400
108781,6533,38765,5925
1385033,42696,211251,54086
1852773,23477,123863,21751
173168,9021,58165,4895
677313,27610,346064,28581
924271,41356,356034,22844
1251556,29892,234796,19709
2225528,25300,248059,24161
1187817,24538,184396,13077
1840204,35536,409286,20042
1924008,25468,276470,18918
604712,24621,121577,11835
496219,23440,146930,11742
1854166,21829,124630,14900
1878908,18027,100586,6419
1645200,25751,272662,24098
5315709,21809,159026,8281
4444143,17390,97197,6907
2706503,18948,146319,9961
4188214,18549,100701,15273
1720851,23559,203270,20656
1538334,11013,70332,5565
19590,667,10769,461
22584,930,8833,921
1376476,5074,32416,5860
19609,1306,11635,5467
35613,2882,11013,8079
27818,1928,11953,10498
25448,1820,13946,4223
1608346,5697,26867,16316
33740,1973,17420,4807
25474,1852,13704,2604
42356,2545,21137,3370
15433,2019,10646,3418
1619145,5201,35463,8853
32844,2032,9115,7905
13734,1848,16352,7707
28796,2255,6517,3251
32767,2421,21956,6094
1590804,4580,24450,8220
27554,2391,20779,2642
25753,1696,5051,1301
6456,799,10443,1418
21429,1364,2974,988
1608161,6352,38182,6061
397368,22941,50592,13049
548344,18720,87618,11748
205875,3716,31690,1820
25482,1658,12844,3649
1614064,4959,40780,12349
37015,2311,26906,2980
10546,1493,8362,384
29185,2139,17053,4002
39338,2267,18693,4650
1581492,4676,23825,3505
22693,1862,18199,1046
21171,1533,4309,357
28274,2206,20925,2878
34919,2251,10230,2726
1622266,5232,34807,5247
19680,1882,10347,855
19794,1199,11315,952
31773,2603,11791,1451
29716,2567,20456,1471
1581806,5107,27299,6070
15538,1510,12636,1472
138112,7116,22450,4448
25400,1886,13690,953
25311,1830,14465,555
1636004,5981,36535,4404
31000,1880,11414,544
32570,2408,17736,1834
