开始记录 execve 日志
[19115.648797843] PID: 55555
[19115.680294975] PID: 55573
[19115.683938088] PID: 55580
[19115.685244416] PID: 55582
[19115.686053664] PID: 55584
[19115.687288072] PID: 55586
[19115.728711750] PID: 55603
[19115.730133136] PID: 55605
[19115.731855625] PID: 55608
[19115.733440481] PID: 55610
[19115.735021250] PID: 55613
[19115.736562453] PID: 55615
[19115.738111263] PID: 55617
[19115.739848635] PID: 55619
[19115.746719843] PID: 55625
[19115.753034457] PID: 55631
[19115.755600898] PID: 55633
[19115.760847011] PID: 55635
[19115.763766795] PID: 55637
[19115.765954705] PID: 55639
[19115.799557638] PID: 55648
[19115.825878059] PID: 55665
[19115.826704925] PID: 55667
[19115.830537523] PID: 55669
[19115.831444814] PID: 55671
[19115.870925637] PID: 55673
[19115.878143842] PID: 55679
